cast,country,Year,Quarter,Month,Day,description,duration,director,listed_in,rating,release_year,show_id,title,type
"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,2018,Qtr 3,September,6,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,146 min,Rajkumar Hirani,"Comedies, Dramas, International Movies",TV-14,2014,s4873,PK,Movie
"Aamir Khan, Ashutosh Gowariker",India,2021,Qtr 1,January,10,"The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal.",141 min,Satyajit Bhatkal,"Documentaries, International Movies",TV-14,2004,s3849,Madness in the Desert,Movie
"Aamir Khan, Darsheel Safary, Tanay Chheda, Tisca Chopra, Vipin Sharma, Girija Oak, M.K. Raina",India,2021,Qtr 1,January,10,"When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity.",162 min,Aamir Khan,"Dramas, International Movies",PG,2007,s5955,Taare Zameen Par,Movie
"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Kulbhushan Kharbanda, Raghuvir Yadav, Yashpal Sharma, Rajendranath Zutshi, Rajesh Vivek, Aditya Lakhia",India,2021,Qtr 1,January,10,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",224 min,Ashutosh Gowariker,"Dramas, International Movies, Music & Musicals",PG,2001,s3522,Lagaan,Movie
"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,2019,Qtr 3,August,1,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",164 min,Rajkumar Hirani,"Comedies, Dramas, International Movies",PG-13,2009,s101,3 Idiots,Movie
"Aamir Khan, Karisma Kapoor, Suresh Oberoi, Johnny Lever, Navneet Nishan, Veeru Krishnan, Kunal Khemu, Pramod Moutho, Mohnish Bahl",India,2017,Qtr 2,May,1,"When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities.",177 min,Dharmesh Darshan,"Dramas, International Movies, Romantic Movies",TV-14,1996,s5078,Raja Hindustani,Movie
"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,2020,Qtr 4,October,12,A miserâ€™s scheme to set his son up with a millionaireâ€™s daughter backfires when the two actually fall in love â€” just as his sly charade is revealed.,165 min,Indra Kumar,"Comedies, Dramas, International Movies",TV-14,1990,s1757,Dil,Movie
"Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",India,2020,Qtr 3,September,28,"A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later.",173 min,Indra Kumar,"Dramas, International Movies, Romantic Movies",TV-14,1999,s3913,Mann,Movie
"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Husain, Jehan Manekshaw",India,2021,Qtr 1,January,10,"In this intimate drama, circumstances draw together four people from different castes â€“ which would normally preclude them from forming friendships.",102 min,Kiran Rao,"Dramas, International Movies",TV-MA,2010,s1740,Dhobi Ghat (Mumbai Diaries),Movie
"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",India,2019,Qtr 4,December,15,"Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage.",140 min,Reema Kagti,"Dramas, International Movies, Thrillers",TV-14,2012,s5969,Talaash,Movie
"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan",India,2019,Qtr 4,December,15,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them â€“ until they each fall in love.",185 min,Farhan Akhtar,"Comedies, Dramas, International Movies",TV-14,2001,s1758,Dil Chahta Hai,Movie
"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritwik Sahore",India,2017,Qtr 2,June,21,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,161 min,Nitesh Tiwari,"Dramas, International Movies, Sports Movies",TV-PG,2016,s1596,Dangal,Movie
"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, Paresh Rawal, Mehmood, Deven Verma, Jagdeep, Shakti Kapoor",India,2020,Qtr 2,May,11,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage.",160 min,Rajkumar Santoshi,"Action & Adventure, Comedies, Cult Movies",TV-14,1994,s508,Andaz Apna Apna,Movie
"Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rehman, Kiron Kher, Om Puri, Anupam Kher, Madhavan",India,2018,Qtr 3,August,2,An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.,159 min,Rakeysh Omprakash Mehra,"Dramas, International Movies",TV-14,2006,s5098,Rang De Basanti,Movie
"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Mark Steger, Emjay Anthony, Karolina Wydra",United States,2020,Qtr 4,December,16,An unconventional demon hunter faces his greatest challenge when he steps inside the subconscious mind of a boy possessed by a powerful entity.,87 min,Brad Peyton,"Horror Movies, Thrillers",PG-13,2016,s2979,Incarnate,Movie
"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon, Yassine Fadel, Neil Napier, David Bark-Jones, Alexander Fehling, Nick Alachiotis, Jade HassounÃ©","United States, Canada, Belgium, United Kingdom",2018,Qtr 1,February,4,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.,105 min,Philipp StÃ¶lzl,Action & Adventure,R,2012,s1943,El Ãºltimo testigo,Movie
"Aaron Keogh, Molly Reisman, Dean Tardioli, Greg Wasylyszn, Adrian Murray, Kelly Paoli, Earl Oliveros, Hallie Burt",Canada,2018,Qtr 2,May,1,"Unable to pay bills and unwilling to change his slacker lifestyle, twentysomething Aaron hatches a defrauding scheme when he finds a lost credit card.",74 min,Adrian Murray,"Dramas, Independent Movies",TV-MA,2017,s7647,Withdrawn,Movie
"Aaron Kwok, Lung Ti, Maggie Cheung, Chien-lien Wu, Paul Chun, Kenneth Tsang",Hong Kong,2018,Qtr 3,August,16,"While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties.",83 min,Johnnie To,"Action & Adventure, International Movies",TV-14,1993,s6114,The Bare-Footed Kid,Movie
"Aaron Moorhead, Justin Benson, Callie Hernandez, Lew Temple, James Jordan, Tate Ellington",United States,2018,Qtr 3,September,19,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",112 min,"Justin Benson, Aaron Moorhead","Independent Movies, Sci-Fi & Fantasy, Thrillers",TV-MA,2017,s6333,The Endless,Movie
Aaron Paul,United States,2019,Qtr 4,October,11,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul.",123 min,Vince Gilligan,"Dramas, Thrillers",TV-MA,2019,s1946,El Camino: A Breaking Bad Movie,Movie
"Aaron Paul, Annabelle Wallis, Garret Dillahunt, Chris Chalk, Zachary Knighton, Enver Gjokaj, Michael Kopsa, Terry Chen","Canada, United States, United Kingdom",2019,Qtr 3,September,18,"When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption.",112 min,Zack Whedon,"Dramas, Thrillers",R,2016,s1469,Come and Find Me,Movie
"Aaron Pedersen, Alex Russell, Jacki Weaver, Cheng Pei-pei, David Gulpilil, Michelle Lim Davidson, David Wenham, Tommy Lewis, Tommy Caldwell",Australia,2018,Qtr 4,December,10,"In the Australian outback, an Indigenous cop on a missing persons case unearths a trafficking ring and runs afoul of political-industrial interests.",110 min,Ivan Sen,Thrillers,R,2016,s2469,Goldstone,Movie
"Aaron Stanford, Teri Reeves, Sean Patrick Flanery, Forrest Fyre, Steven Michael Quezada, Paul Blott, Travis Hammer, Ryan Begay, Jermaine Washington, Vincent McDaniel","United States, United Kingdom",2019,Qtr 2,April,24,"Kyle helps people disappear, but when a crazed killer starts hunting down his latest client, he has to decide what he's willing to do to keep her safe.",88 min,Adam Del Giudice,"Dramas, Thrillers",TV-MA,2017,s2320,Furthest Witness,Movie
"Aaron Taylor-Johnson, Anne-Marie Duff, Kristin Scott Thomas, David Threlfall, Thomas Brodie-Sangster, David Morrissey, Sam Bell, Ophelia Lovibond, Josh Bolt, Andrew Buchan","United Kingdom, Canada",2018,Qtr 2,April,14,"Raised by his aunt since he was a young boy, charismatic John Lennon is suddenly reunited with his mother, Julia, which ignites a bitter battle.",99 min,Sam Taylor-Johnson,Dramas,R,2009,s4545,Nowhere Boy,Movie
"Abbey Lee, CiarÃ¡n Hinds, Carla Gugino, Matthew Beard, Dylan Baker",United States,2020,Qtr 3,August,1,"When a young newlywed enters the one chamber in her husbandâ€™s mansion thatâ€™s off-limits, she faces the horrifying consequences of defying the rules.",109 min,Sebastian Gutierrez,"Dramas, Sci-Fi & Fantasy",R,2019,s1981,Elizabeth Harvest,Movie
"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock",United States,2018,Qtr 2,April,6,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,75 min,Marja Lewis Ryan,"Dramas, Independent Movies",TV-MA,2018,s126,6 Balloons,Movie
"Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle, David Harbour, James Fox, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Natalie Dormer",United Kingdom,2020,Qtr 1,March,3,"This glossy ensemble drama juxtaposes the lives of famous divorcÃ©e Wallis Simpson and Wally Winthrop, a young 1990s housewife.",119 min,Madonna,"Dramas, Romantic Movies",R,2011,s7450,W.E.,Movie
"Abdulhussain Abdulredah, Ghanem Al-Saleh, Mariam Al-Ghadban, Dawood Hussain, Entesar Alsharah, Mohamed Gaber",Kuwait,2020,Qtr 2,May,21,"In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.",177 min,Almunsif Alsuwaisi,"Comedies, Dramas, International Movies",TV-14,1981,s1157,Bye Bye London,Movie
"Abdulmohsen Al-Qaffas, Jamal Alradhan, Jassim Al Nabhan, Layla Abdullah, Khaled Al-Buraiki",Kuwait,2020,Qtr 2,May,14,"A socially conscious film director struggles with his career as he faces numerous obstacles, including his social media-friendly significant other.",72 min,Sadeq Behbehani,"Comedies, Dramas, International Movies",TV-PG,2018,s7519,Wedy Atkalam,Movie
"Abhay Deol, Ayesha Takia, Apoorva Jha, Ayesha Jhulka, Rati Agnihotri, Sandhya Mridul, Suresh Oberoi, Manish Chaudhary",India,2018,Qtr 3,July,1,"An arranged marriage becomes a friendship for Viren and Aditi, who aren't in love â€“ until they begin having unexpected feelings for each other.",137 min,Imtiaz Ali,"Comedies, International Movies, Romantic Movies",TV-14,2005,s5687,Socha Na Tha,Movie
"Abhay Deol, Gul Panag, Raima Sen, Sarika, Kulbhushan Kharbanda, Vinay Pathak, Yana Gupta, Jogi, Brijendra Kala, Nawazuddin Siddiqui",India,2020,Qtr 3,September,28,"A government employee and aspiring crime writer, who is under investigation for corruption, is asked by a politician's wife to spy on her husband.",129 min,Navdeep Singh,"Dramas, International Movies, Thrillers",TV-14,2007,s3915,Manorama Six Feet Under,Movie
"Abhay Deol, Mahie Gill, Kalki Koechlin, Sindbad Phgura, Ammo 'Too Sweet', Jimi the Quiff, Parakh Madan",India,2018,Qtr 4,October,1,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",137 min,Anurag Kashyap,"Dramas, International Movies, Romantic Movies",TV-MA,2009,s1725,Dev.D,Movie
"Abhay Deol, Mithila Palkar, Vijay Raaz",India,2019,Qtr 2,May,31,A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.,101 min,Sachin Yardi,"Comedies, Dramas, Independent Movies",TV-MA,2019,s1350,Chopsticks,Movie
"Abhay Deol, Paresh Rawal, Neetu Chandra, Archana Puran Singh, Manu Rishi Chadha, Richa Chadda, Anurag Arora, Rajender Sethi, Manjot Singh, Chandan Anand",India,2018,Qtr 4,November,1,"Starting as a petty thief, a man rises to become one of the city's biggest operators and carves out the kind of lifestyle he'd once only dreamed of.",118 min,Dibakar Banerjee,"Comedies, Dramas, International Movies",TV-14,2008,s4716,Oye Lucky! Lucky Oye!,Movie
"Abhay Deol, Preeti Desai, Lillete Dubey, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Anish Trivedi, Geetika Tyagi, Preetika Chawla, Tahir Raj Bhasin",India,2020,Qtr 3,July,5,The lives of a Mumbai man and woman who are both dealing with issues intersect through a TV dance show that she wants to win but he wants to sabotage.,135 min,Devika Bhagat,"Comedies, Dramas, International Movies",TV-14,2014,s4638,One by Two,Movie
"Abhay Deol, Soha Ali Khan, Shayan Munshi, Kamini Khanna, Sohrab Ardeshir, Murad Ali, Shakeel Khan, Natasha Sinha, Brijendra Kala",India,2019,Qtr 4,December,31,"Stood up by her groom at the altar, a young woman finds help and healing from another man â€“ until her ex-fiancÃ© returns, hoping to win her back.",122 min,Shivam Nair,"Dramas, International Movies, Romantic Movies",TV-14,2006,s347,Ahista Ahista,Movie
"Abhay Mahajan, Dipti Sati, Mayur More, Shubhangi Tambale, Chetan Dalvi, Nilesh Diwekar",India,2019,Qtr 2,June,15,"When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones.",113 min,Sanjay Jadhav,"Comedies, International Movies, Romantic Movies",TV-14,2019,s3810,Luckee,Movie
"Abhimanyu Dassani, Radhika Madan, Gulshan Devaiah, Mahesh Manjrekar, Jimit Trivedi, Loveleen Mishra, Sartaaj Kakkar, Riva Arora",India,2019,Qtr 2,May,22,"Leveraging his ability to withstand pain, a young man trains to follow in the footsteps of his martial-arts hero in this high-action, meta comedy.",137 min,Vasan Bala,"Action & Adventure, Comedies, International Movies",TV-14,2018,s6638,The Man Who Feels No Pain,Movie
"Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao, Sanya Malhotra, Fatima Sana Shaikh, Pankaj Tripathi, Rohit Saraf, Shalini Vatsa, Pearle Maaney",India,2020,Qtr 4,November,12,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",150 min,Anurag Basu,"Comedies, Dramas, International Movies",TV-MA,2020,s3814,Ludo,Movie
"Abhishek Bachchan, Bhoomika Chawla, Mahesh Manjrekar, Vijay Raaz, Mukesh Rishi, Ayesha Jhulka, Anjan Srivastav, Goga Kapoor, Mukul Agarwal, Shweta Menon",India,2018,Qtr 1,March,1,Siddharth falls in love with beautiful Jhanvi. But Jhanvi's brother Ganpat is overly possessive â€“ and determined to destroy their relationship.,134 min,Jeeva,"Action & Adventure, International Movies, Music & Musicals",TV-14,2004,s5301,Run,Movie
"Abhishek Bachchan, Hrishitaa Bhatt, Amrish Puri, Mohnish Bahl, Helen, Om Puri, Ashish Vidyarthi, A.K. Hangal, Tinnu Anand, Daisy Irani, Dara Singh, Viju Khote, Shubha Khote",India,2018,Qtr 1,March,1,"Unable to bribe his way out of a reckless driving charge, an arrogant rich kid is sentenced to community service at a home for senior citizens.",148 min,Gurudev Bhalla,"Comedies, International Movies, Music & Musicals",TV-PG,2002,s5542,Shararat,Movie
"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States",2020,Qtr 2,April,1,"To win over a landlady who only accepts women as tenants, two men pose as a couple â€“ but the jig may be up when they both fall for their flatmate.",142 min,Tarun Mansukhani,"Comedies, Dramas, International Movies",TV-14,2008,s1832,Dostana,Movie
"Abhishek Bachchan, Kangana Ranaut, Anupam Kher, Boman Irani, Jimmy Shergill, Shahana Goswami, Gauhar Khan, Sarah-Jane Dias",India,2019,Qtr 4,December,15,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit.",135 min,Abhinay Deo,"International Movies, Thrillers",TV-14,2011,s2340,Game,Movie
"Abhishek Bachchan, Mithun Chakraborty, Aishwarya Rai Bachchan, Madhavan, Vidya Balan, Roshan Seth, Arya Babbar, Sachin Khedekar, Dhritiman Chatterjee, Manoj Joshi",India,2018,Qtr 1,March,1,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.,155 min,Mani Ratnam,"Dramas, International Movies",TV-PG,2007,s2559,Guru,Movie
"Abhishek Bachchan, Priyanka Chopra, Riteish Deshmukh, Boman Irani, Nana Patekar, Sanjay Mishra, Tinnu Anand, Hussain Shaikh",India,2021,Qtr 1,January,8,"When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity.",129 min,Rohan Sippy,"Comedies, International Movies, Romantic Movies",TV-14,2005,s1005,BluffMaster!,Movie
"Abhishek Bachchan, Sonam Kapoor, Waheeda Rehman, Om Puri, Prem Chopra, Atul Kulkarni, Pavan Malhotra, Divya Dutta, Deepak Dobriyal, Sheeba Chaddha",India,2018,Qtr 4,October,1,"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots.",128 min,Rakeysh Omprakash Mehra,"Dramas, International Movies",TV-14,2009,s1690,Delhi 6,Movie
"Abir Chatterjee, Raima Sen, Arunima Ghosh, Priyanka Sarkar, Sujan Mukherjee, Kanchan Mullick, Biswanath Basu, Bhaswar Chatterjee, Swagata Basu, Tuhin Mitra, Paran Banerjee, Kharaj Mukherjee, Chiranjit",India,2017,Qtr 2,May,1,"After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve.",127 min,Atanu Ghosh,"Comedies, Dramas, International Movies",TV-PG,2015,s278,Abby Sen,Movie
"AdÃ¨le Haenel, Olivier Bonnaud, JÃ©rÃ©mie Renier, Louka Minnella, Christelle Cornil, Olivier Gourmet, Fabrizio Rongione, Thomas Doret","Belgium, France",2017,Qtr 4,December,12,A guilt-ridden doctor in a Belgian town tries to uncover the identity of a woman who died after being turned away from her office.,106 min,"Jean-Pierre Dardenne, Luc Dardenne","Dramas, International Movies",TV-MA,2016,s6967,The Unknown Girl,Movie
"Adam Collins, Jessica Norris, Ian Hitchens, Steven Blades, Zara Phythian, Anthony Burrows, Andy Calderwood, Emmeline Kellie, Andre Squire, Ollie Christie",United Kingdom,2019,Qtr 1,February,15,"After a failed mission, an ex-Royal Marines Commando tries to overcome his demons while investigating the death of his ex-girlfriend's father.",102 min,"Adam Collins, Luke Radford",Action & Adventure,TV-MA,2018,s4709,Outlawed,Movie
Adam Devine,United States,2019,Qtr 2,June,18,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",59 min,Jay Karas,Stand-Up Comedy,TV-MA,2019,s306,Adam Devine: Best Time of Our Lives,Movie
"Adam DeVine, Alexandra Daddario, Shelley Hennig, Robbie Amell, Andrew Bachelor",United States,2018,Qtr 1,February,9,"Using a magical photo booth that sends him back in time, Noah relives the night he met Avery over and over, trying to persuade her to fall for him.",97 min,Ari Sandel,"Comedies, Romantic Movies",TV-14,2018,s7587,When We First Met,Movie
"Adam DeVine, Anders Holm, Blake Anderson, Utkarsh Ambudkar, Aya Cash, Neal McDonough, Daniel Stern, Jamie Demetriou, Rhona Mitra, Sam Richardson, Steve Howey, Mac Brandt, Geno Segers, Roe Hartrampf",United States,2018,Qtr 1,March,23,Three buddies with big dreams go from underachieving slackers to badass warriors when their posh hotel is taken over by terrorists.,102 min,Kyle Newacheck,"Action & Adventure, Comedies",TV-MA,2018,s2346,"Game Over, Man!",Movie
"Adam Greaves-Neal, Sara Lazzaro, Vincent Walsh, Sean Bean, Jonathan Bailey, Agni Scott",United States,2020,Qtr 3,August,27,"Tormented by a demon and on the run from a Roman centurion, a 7-year-old Jesus and his parents, Mary and Joseph, flee Egypt for Nazareth.",111 min,Cyrus Nowrasteh,"Dramas, Faith & Spirituality",PG-13,2016,s7028,The Young Messiah,Movie
"Adam Moussamih, Charli Birdgenau, Vlastra Vrana, Sonja Ball, Alexandre Harough","France, Luxembourg, Canada",2019,Qtr 2,June,7,"When a sacred statue is taken from his Andean village, a spirited boy who dreams of becoming a shaman goes on a brave mission to get it back.",71 min,Juan Antin,Children & Family Movies,PG,2019,s4731,Pachamama,Movie
"Adam Rayner, Eliza Dushku, Ian Ogilvy, James Remar, Roger Moore, Enrique Murciano, Thomas Kretschmann, Beatrice Rosen, Greg Grunberg, Yani Gellman",United States,2017,Qtr 3,August,10,"Master thief Simon Templar â€“ also known as the Saint â€“ is hired by a wealthy banker to find his kidnapped daughter, but not all is as it seems.",92 min,Ernie Barbarash,Action & Adventure,TV-14,2017,s6847,The Saint,Movie
Adam Sandler,United States,2018,Qtr 4,October,23,"From ""Heroes"" to ""Ice Cream Ladies"" â€“ Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way.",74 min,Steve Brill,Stand-Up Comedy,TV-MA,2018,s308,ADAM SANDLER 100% FRESH,Movie
"Adam Sandler, Ben Stiller, Dustin Hoffman, Elizabeth Marvel, Grace Van Patten, Emma Thompson, Candice Bergen, Rebecca Miller, Danny Flaherty, Sakina Jaffrey, Adam David Thompson",United States,2017,Qtr 4,October,13,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father â€“ and his fading legacy.,113 min,Noah Baumbach,"Comedies, Dramas, Independent Movies",TV-MA,2017,s6663,The Meyerowitz Stories (New and Selected),Movie
"Adam Sandler, Chris Rock, Steve Buscemi, Rachel Dratch, Allison Strong, Roland Buck III, Katie Hartman, Chloe Himmelman, Jake Lippmann, Jim Barone, June Gable",United States,2018,Qtr 2,April,27,Two fathers with clashing views about their children's upcoming wedding struggle to keep it together during the chaotic week before the big day.,117 min,Robert Smigel,Comedies,TV-14,2018,s6996,The Week Of,Movie
"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn, Nick Swardson, Catherine Bell, Michael Chiklis, Natasha Leggero, Sean Astin",United States,2016,Qtr 2,May,27,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,109 min,Steven Brill,"Action & Adventure, Comedies",TV-MA,2016,s6308,The Do-Over,Movie
"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",United States,2020,Qtr 4,December,1,"After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",99 min,Peter Segal,"Comedies, Romantic Movies",PG-13,2004,s122,50 First Dates,Movie
